(Karaka_Relation-Preposition	ras_k1 with)
(Karaka_Relation-Preposition	k2p to)
(Karaka_Relation-Preposition	k3 with)
(Karaka_Relation-Preposition	k4 to)
(Karaka_Relation-Preposition	k5 from)
(Karaka_Relation-Preposition	k5prk from)
(Karaka_Relation-Preposition	r6 of)
(Karaka_Relation-Preposition	k7 on)
(Karaka_Relation-Preposition	k7p in)
(Karaka_Relation-Preposition	k7t at)
(Karaka_Relation-Preposition	k7te before)
(Karaka_Relation-Preposition	k7ts after)
(Karaka_Relation-Preposition	sImA upto)
(Karaka_Relation-Preposition	uwwarakAlika_kriyA before)
(Karaka_Relation-Preposition	rt for)
(Karaka_Relation-Preposition	kriyArWa_kriyA for)
(Karaka_Relation-Preposition	ru like)
